,xdot0,xdot1,xdot2,xdot3
434,9.247276006563537,9.675790126434004,9.809594192392794,9.960387299819336
435,9.25370100883292,9.678681632885137,9.810825935737487,9.960803734798722
436,9.260069513105128,9.681541624386854,9.812050674035316,9.961216995550085
437,9.266382009735144,9.684370490168426,9.81326849782465,9.96162708575638
438,9.272638985105397,9.6871686163367,9.81447949548687,9.962034009412445
439,9.278840921696201,9.689936385812707,9.81568375327337,9.962437770827805
440,9.284988298150909,9.692674178273846,9.816881355332617,9.962838374628692
441,9.291081589337042,9.69538237010163,9.818072383737505,9.963235825759384
442,9.29712126640307,9.698061334334328,9.819256918512787,9.963630129482889
443,9.30310779683164,9.70071144062439,9.820435037662708,9.96402129138104
444,9.309041644489394,9.703333055200261,9.82160681719876,9.964409317354042
445,9.314923269673459,9.705926540832243,9.822772331167492,9.96479421361949
446,9.32075312915483,9.708492256802103,9.823931651678357,9.96517598671094
447,9.3265316762191,9.711030558876258,9.825084848931628,9.965554643476034
448,9.332259360704791,9.713541799282368,9.826231991246399,9.965930191074222
449,9.337936629038811,9.716026326688784,9.82737314508844,9.966302636974122
450,9.343563924270077,9.718484486187048,9.828508375098181,9.966671988950546
451,9.349141686101115,9.720916619277096,9.829637744118662,9.967038255081214
452,9.354670350917392,9.723323063854822,9.83076131322336,9.967401443743181
453,9.360150351815484,9.725704154202253,9.831879141744164,9.967761563609027
454,9.36558211862877,9.728060220979566,9.832991287299022,9.968118623642772
455,9.370966077952442,9.730391591219526,9.83409780581982,9.96847263309562
456,9.376302653166588,9.732698588323638,9.835198751580018,9.968823601501496
457,9.38159226445839,9.734981532060274,9.836294177222353,9.969171538672404
458,9.386835328842793,9.737240738564394,9.837384133786372,9.969516454693636
459,9.392032260182198,9.739476520338897,9.83846867073593,9.969858359918844
460,9.397183469205364,9.7416891862576,9.839547835986679,9.970197264964984
461,9.402289363524915,9.743879041569437,9.840621675933349,9.970533180707156
462,9.407350347654443,9.746046387904196,9.84169023547708,9.970866118273348
463,9.412366823024646,9.748191523279443,9.842753558052625,9.971196089039097
464,9.417339187998866,9.750314742108722,9.843811685655522,9.97152310462209
465,9.422267837887713,9.752416335210757,9.844864658869085,9.97184717687669
466,9.427153164963581,9.754496589819961,9.845912516891492,9.972168317888428
467,9.431995558474021,9.756555789597709,9.846955297562582,9.972486539968452
468,9.436795404655216,9.758594214644832,9.847993037390788,9.972801855647948
469,9.441553086744506,9.760612141514837,9.849025771579809,9.973114277672531
470,9.446268984992878,9.762609843228152,9.850053534055325,9.97342381899664
471,9.450943476677057,9.7645875892872,9.85107635749163,9.973730492777916
472,9.455576936111179,9.76654564569224,9.852094273338139,9.974034312371586
473,9.460169734658159,9.768484274957968,9.853107311845816,9.974335291324852
474,9.464722240741018,9.770403736130932,9.854115502093595,9.974633443371294
475,9.469234819853742,9.772304284807554,9.855118872014623,9.974928782425295
476,9.473707834572265,9.774186173152959,9.856117448422532,9.975221322576484
477,9.478141644564907,9.776049649920287,9.85711125703751,9.975511078084219
478,9.48253660660327,9.777894960470876,9.858100322512453,9.97579806337209
479,9.486893074572514,9.77972234679483,9.859084668458891,9.976082293022477
480,9.491211399481703,9.781532047532234,9.860064317472862,9.976363781771118
481,9.495491929474191,9.78332429799495,9.861039291160726,9.976642544501756
482,9.49973500983762,9.785099330188809,9.86200961016478,9.9769185962408
483,9.5039409830151,9.786857372836838,9.86297529418916,9.977191952152086
484,9.508110188614673,9.788598651402248,9.863936362025091,9.977462627531624
485,9.51224296341965,9.79032338811226,9.864892831576311,9.97773063780244
486,9.516339641399595,9.792031801982656,9.865844719884585,9.977995998509483
487,9.520400553720311,9.793724108842351,9.866792043154776,9.978258725314568
488,9.524426028754492,9.795400521358632,9.86773481677998,9.97851883399138
489,9.528416392092073,9.797061249062645,9.868673055366436,9.978776340420552
490,9.532371966551093,9.798706498375495,9.869606772758448,9.9790312605848
491,9.536293072188586,9.800336472634667,9.87053598206313,9.97928361056413
492,9.540180026311324,9.801951372120737,9.871460695674955,9.979533406531086
493,9.544033143486725,9.803551394084439,9.872380925300156,9.979780664746098
494,9.547852735554349,9.805136732774285,9.87329668198115,9.980025401552872
495,9.5516391116367,9.806707579464149,9.874207976120509,9.980267633373849
496,9.555392578151386,9.80826412248171,9.875114817505175,9.980507376705754
497,9.559113438821806,9.809806547236462,9.876017215329979,9.980744648115172
498,9.562801994689742,9.811335036248813,9.876915178221546,9.98097946423424
499,9.566458544127057,9.81284976917897,9.877808714261661,9.981211841756377
500,9.570083382847272,9.814350922855972,9.878697831010372,9.981441797432073
501,9.573676803918604,9.815838671307544,9.87958253552928,9.981669348064788
502,9.577239097775973,9.817313185789653,9.880462834404252,9.98189451050688
503,9.580770552233762,9.818774634816533,9.88133873376809,9.982117301655617
504,9.584271452498742,9.820223184190938,9.882210239322971,9.982337738449258
505,9.587742081182745,9.821658997034378,9.883077356362516,9.982555837863197
506,9.591182718316308,9.823082233817898,9.883940089793866,9.982771616906177
507,9.594593641362135,9.82449305239287,9.884798444159372,9.98298509261658
508,9.597975125227885,9.82589160802156,9.88565242365779,9.983196282058755
509,9.601327442280795,9.827278053408566,9.886502032165698,9.983405202319448
510,9.604650862361055,9.828652538731754,9.887347273258195,9.983611870504271
511,9.607945652796383,9.830015211673777,9.888188150229636,9.983816303734255
512,9.61121207841639,9.831366217453514,9.889024666113947,9.984018519142458
513,9.61445040156647,9.832705698857316,9.889856823704438,9.984218533870628
514,9.617660882123396,9.834033796271004,9.890684625573774,9.984416365065954
515,9.62084377750935,9.835350647711175,9.891508074093103,9.984612029877853
516,9.623999342707677,9.836656388857229,9.892327171451324,9.984805545454842
517,9.627127830277765,9.837951153082985,9.893141919673711,9.984996928941454
518,9.630229490370601,9.839235071488561,9.893952320640349,9.985186197475228
519,9.633304570744162,9.840508272932103,9.894758376104125,9.985373368183746
520,9.636353316779475,9.841770884061756,9.895560087708526,9.985558458181751
521,9.639375971496104,9.843023029347288,9.896357457004852,9.985741484568296
522,9.64237277556878,9.84426483111215,9.89715048546936,9.985922464423977
523,9.645343967343168,9.845496409565046,9.89793917451975,9.98610141480821
524,9.648289782852226,9.846717882831635,9.89872352553139,9.986278352756564
525,9.651210455833237,9.847929366986449,9.899503539853328,9.986453295278164
526,9.654106217743724,9.849130976084142,9.900279218823556,9.986626259353129
