,x0,x1,x2,x3
989,128.18197958754766,138.1744564312326,148.17282470104877,158.938513014784
990,128.34853523749018,138.3410780435428,148.33946147124925,159.10517952142087
991,128.51509186201577,138.50770005910908,148.50609850261876,159.2718460307028
992,128.681649452665,138.67432247433106,148.6727357929078,159.43851254258604
993,128.8482080010507,138.84094528564046,148.83937333988598,159.60517905702764
994,129.01476749885737,139.00756848950084,149.0060111413418,159.77184557398533
995,129.18132793784062,139.1741920824073,149.17264919508247,159.9385120934175
996,129.34788930982648,139.34081606088625,149.33928749893386,160.10517861528325
997,129.5144516067109,139.50744042149506,149.5059260507402,160.27184513954234
998,129.68101482045913,139.67406516082184,149.672564848364,160.43851166615522
999,129.84757894310513,139.84069027548512,149.83920388968593,160.605178195083
1000,130.01414396675102,140.0073157621336,150.00584317260459,160.7718447262874
1001,130.1807098835665,140.17394161744593,150.17248269503636,160.93851125973083
1002,130.34727668578827,140.34056783813034,150.33912245491538,161.10517779537625
1003,130.51384436571954,140.50719442092444,150.50576245019326,161.27184433318726
1004,130.68041291572933,140.67382136259496,150.67240267883898,161.43851087312805
1005,130.84698232825207,140.84044865993746,150.83904313883875,161.60517741516347
1006,131.01355259578696,141.0070763097761,151.00568382819583,161.77184395925886
1007,131.18012371089745,141.17370430896332,151.17232474493048,161.93851050538018
1008,131.34669566621073,141.34033265437972,151.33896588707972,162.10517705349395
1009,131.51326845441716,141.5069613429337,151.50560725269722,162.27184360356722
1010,131.67984206826972,141.67359037156118,151.67224883985318,162.43851015556763
1011,131.8464165005836,141.84021973722548,151.83889064663418,162.6051767094633
1012,132.01299174423548,142.00684943691698,152.00553267114304,162.7718432652229
1013,132.17956779216323,142.17347946765292,152.17217491149867,162.93850982281566
1014,132.34614463736523,142.34010982647712,152.33881736583595,163.10517638221125
1015,132.51272227289996,142.5067405104598,152.50546003230562,163.27184294337988
1016,132.67930069188546,142.67337151669727,152.67210290907408,163.43850950629223
1017,132.84587988749882,142.84000284231178,152.83874599432338,163.60517607091953
1018,133.0124598529757,143.0066344844512,153.00538928625093,163.77184263723336
1019,133.17904058160983,143.17326644028893,153.17203278306948,163.9385092052059
1020,133.34562206675253,143.33989870702342,153.338676483007,164.1051757748097
1021,133.5122043018122,143.50653128187827,153.50532038430646,164.27184234601782
1022,133.6787872802539,143.67316416210173,153.67196448522583,164.43850891880373
1023,133.8453709955988,143.83979734496663,153.8386087840378,164.60517549314136
1024,134.01195544142377,144.00643082777015,154.00525327902983,164.77184206900506
1025,134.17854061136083,144.1730646078335,154.17189796850388,164.9385086463696
1026,134.34512649909678,144.33969868250185,154.33854285077638,165.1051752252102
1027,134.5117130983727,144.506333049144,154.50518792417805,165.27184180550242
1028,134.67830040298347,144.6729677051522,154.67183318705383,165.4385083872223
1029,134.84488840677733,144.839602647942,154.83847863776276,165.60517497034624
1030,135.01147710365547,145.00623787495198,155.0051242746778,165.77184155485102
1031,135.1780664875715,145.17287338364352,155.17177009618578,165.93850814071382
1032,135.3446565525311,145.3395091715007,155.33841610068725,166.10517472791219
1033,135.5112472925915,145.50614523603,155.50506228659637,166.27184131642406
1034,135.6778387018611,145.6727815747601,155.6717086523408,166.43850790622773
1035,135.84443077449905,145.83941818524178,155.83835519636165,166.60517449730182
1036,136.01102350471476,146.0060550650476,156.0050019171132,166.77184108962535
1037,136.17761688676748,146.1726922117718,156.17164881306297,166.93850768317768
1038,136.34421091496597,146.33932962303,156.33829588269154,167.10517427793846
1039,136.51080558366797,146.5059672964592,156.50494312449237,167.27184087388775
1040,136.67740088727987,146.6726052297174,156.67159053697182,167.43850747100592
1041,136.84399682025625,146.8392434204834,156.83823811864897,167.60517406927363
1042,137.01059337709947,147.00588186645683,157.0048858680555,167.77184066867187
1043,137.17719055235926,147.17252056535776,157.17153378373567,167.93850726918197
1044,137.34378834063241,147.3391595149266,157.33818186424605,168.10517387078553
1045,137.51038673656228,147.50579871292388,157.50483010815563,168.2718404734645
1046,137.6769857348384,147.67243815713013,157.67147851404553,168.43850707720108
1047,137.84358533019613,147.83907784534563,157.83812708050903,168.60517368197782
1048,138.01018551741623,148.00571777539028,158.00477580615137,168.7718402877775
1049,138.1767862913245,148.17235794510344,158.17142468958974,168.93850689458324
1050,138.34338764679143,148.33899835234368,158.3380737294531,169.1051735023784
1051,138.50998957873173,148.50563899498871,158.50472292438212,169.27184011114662
1052,138.67659208210407,148.67227987093514,158.67137227302908,169.4385067208718
1053,138.84319515191058,148.8389209780983,158.8380217740578,169.60517333153817
1054,139.0097987831966,149.00556231441212,159.0046714261435,169.77183994313015
1055,139.17640297105027,149.172203877829,159.17132122797267,169.93850655563242
1056,139.3430077106021,149.33884566631951,159.3379711782431,170.10517316902994
1057,139.50961299702476,149.50548767787237,159.50462127566365,170.27183978330794
1058,139.67621882553254,149.67212991049416,159.67127151895428,170.43850639845184
1059,139.84282519138117,149.8387723622093,159.83792190684585,170.60517301444733
1060,140.00943208986732,150.0054150310598,160.0045724380801,170.77183963128036
1061,140.17603951632833,150.1720579151051,160.1712231114095,170.93850624893707
1062,140.3426474661419,150.33870101242198,160.33787392559722,171.10517286740384
1063,140.50925593472567,150.5053443211043,160.50452487941703,171.2718394866673
1064,140.67586491753693,150.67198783926295,160.67117597165316,171.43850610671424
1065,140.8424744100722,150.83863156502565,160.83782720110023,171.60517272753177
1066,141.00908440786708,151.0052754965368,161.00447856656325,171.7718393491071
1067,141.1756949064957,151.17191963195734,161.17113006685742,171.93850597142773
1068,141.34230590157048,151.33856396946462,161.33778170080808,172.10517259448133
1069,141.50891738874193,151.50520850725223,161.50443346725064,172.27183921825582
