,xdot0,xdot1,xdot2,xdot3
0,0.0,0.0,0.0,0.0
1,0.165285927652015,0.165285927652015,0.165285927652015,0.165285927652015
2,0.3278399115160523,0.3278399115160523,0.3278399115160523,0.3278399115160523
3,0.4877071067784407,0.4877071067784407,0.4877071067784407,0.4877071067784407
4,0.644931922273823,0.644931922273823,0.644931922273823,0.644931922273823
5,0.7995580328212992,0.7995580328212992,0.7995580328212992,0.7995580328212992
6,0.95162839135667,0.95162839135667,0.95162839135667,0.95162839135667
7,1.1011852408641523,1.1011852408641523,1.1011852408641523,1.1011852408641523
8,1.2482701261108797,1.2482701261108797,1.2482701261108797,1.2482701261108797
9,1.3929239051874485,1.3929239051874485,1.3929239051874485,1.3929239051874485
10,1.5351867608577139,1.5351867608577139,1.5351867608577139,1.5351867608577139
11,1.6750982117209914,1.6750982117209914,1.6750982117209914,1.6750982117209914
12,1.8126971231897622,1.8126971231897622,1.8126971231897622,1.8126971231897622
13,1.9480217182859312,1.9480217182859312,1.9480217182859312,1.9480217182859312
14,2.0811095882586406,2.0811095882586406,2.0811095882586406,2.0811095882586406
15,2.2119977030265834,2.2119977030265834,2.2119977030265834,2.2119977030265834
16,2.3407224214477225,2.3407224214477225,2.3407224214477225,2.3407224214477225
17,2.467319501419264,2.467319501419264,2.467319501419264,2.467319501419264
18,2.591824109810693,2.591824109810693,2.591824109810693,2.591824109810693
19,2.7142708322326294,2.7142708322326294,2.7142708322326294,2.7142708322326294
20,2.834693682644221,2.834693682644221,2.834693682644221,2.834693682644221
21,2.9531261128017348,2.9531261128017348,2.9531261128017348,2.9531261128017348
22,3.0696010215509824,3.0696010215509824,3.0696010215509824,3.0696010215509824
23,3.18415076396615,3.18415076396615,3.18415076396615,3.18415076396615
24,3.2968071603375795,3.2968071603375795,3.2968071603375795,3.2968071603375795
25,3.4076015050109905,3.4076015050109905,3.4076015050109905,3.4076015050109905
26,3.516564575080608,3.516564575080608,3.516564575080608,3.516564575080608
27,3.6237266389385985,3.6237266389385985,3.6237266389385985,3.6237266389385985
28,3.7291174646832026,3.7291174646832026,3.7291174646832026,3.7291174646832026
29,3.832766328387886,3.832766328387886,3.832766328387886,3.832766328387886
30,3.9347020222338194,3.9347020222338194,3.9347020222338194,3.9347020222338194
31,4.034952862507935,4.034952862507935,4.034952862507935,4.034952862507935
32,4.133546697468791,4.133546697468791,4.133546697468791,4.133546697468791
33,4.23051091508242,4.23051091508242,4.23051091508242,4.23051091508242
34,4.3258724506303174,4.3258724506303174,4.3258724506303174,4.3258724506303174
35,4.4196577941916795,4.4196577941916795,4.4196577941916795,4.4196577941916795
36,4.511892998001971,4.511892998001971,4.511892998001971,4.511892998001971
37,4.602603683689868,4.602603683689868,4.602603683689868,4.602603683689868
38,4.6918150493945765,4.6918150493945765,4.6918150493945765,4.6918150493945765
39,4.779551876765526,4.779551876765526,4.779551876765526,4.779551876765526
40,4.865838537846349,4.865838537846349,4.865838537846349,4.865838537846349
41,4.9506990018450985,4.9506990018450985,4.9506990018450985,4.9506990018450985
42,5.034156841792547,5.034156841792547,5.034156841792547,5.034156841792547
43,5.1162352410904415,5.1162352410904415,5.1162352410904415,5.1162352410904415
