,t,cbf,x0,x1,x2,x3,x4,x5,x6,xdot0,xdot1,xdot2,xdot3,xdot4,xdot5,xdot6,u_0,u_1,u_2,u_3,u_4,u_5,u_6
93,4.65,0.1496453423868549,0.07855820245567799,0.3260581913342369,0.13474241387907587,-0.32085346051847013,0.27944035488127134,0.3556109925351797,-0.25303695699926604,0.0039653287314843425,0.048149155176839986,-0.08082757838283902,-0.010734240657042687,-0.10053348770330722,-0.04342767852474999,0.06202102614270717,-0.77314377323794,-5.2985718533285135,-0.905112375762741,-1.5020674186849405,0.8781063027040981,-0.15514563779290538,0.07759723099453236
94,4.7,0.14234696679080897,0.07868624368238275,0.3283831300585801,0.1307687538501164,-0.32135449503002483,0.2744759753909534,0.3534211641974834,-0.2500120348049516,0.001175580056360306,0.044883436973086215,-0.0781078594832254,-0.009319903573024053,-0.09802309097793425,-0.04413600771166025,0.05900813203860831,-0.7507777747699472,-5.254335604874003,-0.8836921603045568,-1.4843900126668654,0.8826275889932044,-0.1459079859005616,0.07666704120789397
95,4.75,0.13540452954072493,0.07867767473692336,0.3305499449818884,0.12693260787795316,-0.32178663256359363,0.26963990759118284,0.35120010535626833,-0.24713421212379422,-0.0014993219799639772,0.04182264414743207,-0.07532963144525569,-0.007978909134212203,-0.09540474571721254,-0.04467878088472424,0.0561359503048533,-0.7280110526145114,-5.212653404121907,-0.8649395380196017,-1.4677961123020584,0.8861338374970631,-0.1371195005332358,0.07558650255916179
96,4.800000000000001,0.12880067311702922,0.07853820066200418,0.3325686476915251,0.12323651273082702,-0.32215360743201166,0.2649370132421133,0.3489558098804453,-0.24439659229579205,-0.004060871664650738,0.03895740054119956,-0.07250825816729742,-0.0067137670764126885,-0.0926995152092125,-0.04506726172230121,0.05339882431372221,-0.7048828566117212,-5.17341545058599,-0.8486820047222043,-1.4522340737926813,0.88871444193321,-0.12876017307483567,0.07437032320409151
97,4.8500000000000005,0.1225188861289196,0.07827345160295347,0.3344487833254555,0.11968226541200473,-0.3224592564048307,0.26037115049558307,0.3466957245275888,-0.2417925652237308,-0.006510568604716599,0.03627842879006146,-0.06965796843569239,-0.00552608280061459,-0.08992651167468477,-0.04531208726632416,0.05079098433352603,-0.6814327762821237,-5.136514271457792,-0.8347526956992138,-1.4376539727669393,0.8904535500815008,-0.1208122965985174,0.07303266207712064
98,4.9,0.1165434621389218,0.07788898278821574,0.3361994361049247,0.1162709793843986,-0.32270747552611156,0.2559452675389695,0.3444267775695299,-0.23931581021091564,-0.008849908570128314,0.03377657410660554,-0.0667918788493088,-0.00441663853216454,-0.08710304991899867,-0.045423371787677545,0.04830665337962251,-0.6577007112101003,-5.101844655469608,-0.8229908132391631,-1.4240074619732719,0.8914300425895463,-0.11325989415858714,0.07158708390425107
99,4.95,0.1108594604754699,0.0773902748702731,0.3378292360689696,0.1130031394299819,-0.32290218101306933,0.2516614888673339,0.3421554029040079,-0.2369602941366853,-0.01108037811753655,0.03144282842753602,-0.06392202513723157,-0.003385475219611791,-0.08424478878633637,-0.045410784293879916,0.04594012886616924,-0.6337268151032357,-5.0693036458285405,-0.8132419233551265,-1.4112476716543867,0.8917175931632724,-0.10608826106056557,0.07004652619175752
100,5.0,0.10545266894101615,0.0767827344547113,0.3393463670076566,0.10987865477484986,-0.3230472742393794,0.2475211947693707,0.339887560845421,-0.23472026607704655,-0.013203452333612238,0.02926835410137444,-0.06105939990251105,-0.0024319738682711724,-0.08136586137169975,-0.04528360457570244,0.04368584403588015,-0.6095514187569607,-5.0387905754906885,-0.8053581423790949,-1.399329143504707,0.8913847916900361,-0.09928360499976437,0.06842327676228532
101,5.050000000000001,0.10030956832669624,0.07607169467684824,0.34075857555418243,0.10689691020165096,-0.32314661074619516,0.2435250945664304,0.3376287565583914,-0.23259024929224761,-0.015220595091772975,0.027244506467427893,-0.058213995118653605,-0.0015549351852655142,-0.07847899488668589,-0.04505076207179611,0.04153841262620332,-0.5852149366990328,-5.010207131037393,-0.7991982317935895,-1.3882077904885715,0.8904953147305191,-0.0928327692026093,0.06672896046606488
102,5.1000000000000005,0.0954172986481463,0.0752624157141944,0.34207318136744747,0.10405681494806825,-0.3232039731722956,0.2396732941005748,0.3353840568986624,-0.2305650313421084,-0.01713326127486663,0.02536285483090618,-0.05539484796859015,-0.0007526565945801876,-0.0755956210171132,-0.04472086124534673,0.039492659766526494,-0.5607577618009136,-4.983457434018815,-0.7946276174562469,-1.3778408760230019,0.8891081303530897,-0.08672302509442573,0.06497453377570739
103,5.15,0.0907636270206329,0.07436008514888044,0.34329708831538147,0.10135684925459151,-0.32322304795212414,0.2359653579271476,0.3331581062548903,-0.22863965295082786,-0.01894290047665396,0.023615201473099173,-0.052610088848844855,-2.3005856963700076e-05,-0.07272597755477771,-0.04430219662329845,0.03754364168709644,-0.5362201516459005,-4.9584481308740225,-0.7915183473015865,-1.36818700711265,0.8872777265062741,-0.08094192245855879,0.06317028606993806
104,5.2,0.0863369170951857,0.07336981811704374,0.34443679655419795,0.09879510847845537,-0.3232074055964177,0.23240036662960037,0.3309551418399691,-0.226809396123416,-0.02065096175477211,0.021993598450544136,-0.04986699056603978,0.0006365093038769574,-0.06987920203191114,-0.043802760152088185,0.03568665645186898,-0.5116421099544302,-4.935088484454009,-0.7897489996931417,-1.3592061369742687,0.8850543540617869,-0.07547718647943516,0.06132584651799134
105,5.25,0.08212609998087307,0.07229665720207212,0.3454984153889493,0.09636934473470589,-0.32316048434408956,0.22897696963920253,0.328779008759205,-0.22506977191368666,-0.022258899065797873,0.020490362034444994,-0.0471720179307197,0.0012286760134047783,-0.06706341803518281,-0.04323024307650047,0.033917247600473974,-0.48706326589800497,-4.913290461798567,-0.78920455285992,-1.350859573514587,0.8824842773400855,-0.07031665243131942,0.059450195586363615
106,5.300000000000001,0.0781206465817344,0.07114557204568395,0.34648767679541,0.09407700606117242,-0.3230855769553348,0.22569343390968802,0.32663317508246603,-0.22341650815691802,-0.023768177067984234,0.019098084722724215,-0.044530877107011965,0.001756515802037251,-0.06428581482622855,-0.0425920341504606,0.032231202295177286,-0.4625227536934783,-4.892968814182174,-0.7897762242866696,-1.343109990739894,0.8796100263773372,-0.06544823005695832,0.057551680298516594
107,5.3500000000000005,0.07431054128014596,0.06992145866524734,0.34740994948165044,0.09191527313281733,-0.3229858204038084,0.22254768876676148,0.3245207470659213,-0.22184553740704296,-0.02518027702846806,0.017809644823553218,-0.041948564208212705,0.0022232290863198126,-0.061552720847637285,-0.04189521563900927,0.030624545313879696,-0.43805909446460706,-4.874041146579709,-0.791361287534988,-1.335921440789557,0.8764706464310477,-0.060859890858675714,0.05563803248344068
108,5.4,0.07068625690155647,0.06862913847770795,0.34827025336899275,0.08988109357355517,-0.3228641882193886,0.2195373672246122,0.3224444846037934,-0.2203529852569294,-0.026496702618764488,0.016618213662573357,-0.03942941274033845,0.002632144649696078,-0.058869671647069854,-0.0411465582670007,0.02909353000658767,-0.41371008199093207,-4.856427974639111,-0.7938628727448274,-1.329259364809446,0.8731019412727878,-0.05653967259104343,0.05371638934759713
109,5.45,0.06723873089856211,0.06727335704022074,0.3490732743757377,0.08797121393109723,-0.3227234852316797,0.2166598440360748,0.3204068169394609,-0.2189351591694605,-0.02771898542491855,0.015517260507836281,-0.03697713959024653,0.002986674105374447,-0.05624147270780582,-0.04035251600912562,0.02763462713765417,-0.38951267363628184,-4.840052768011169,-0.797189755993427,-1.3230906013254597,0.8695367077010985,-0.05247569619692598,0.05179331579639896
110,5.5,0.06395934269522316,0.06585878252529348,0.3498233793925867,0.08618220939350522,-0.3225663444672535,0.21391227071973612,0.31840985862621307,-0.21758853790537672,-0.02884869003669925,0.014500555338215117,-0.03459488933422321,0.0032902712473213123,-0.053672257631579984,-0.03951922139420739,0.02624451236661423,-0.3655028874601649,-4.824841979501311,-0.8012561417595536,-1.3173833911504287,0.8658049594452155,-0.048656191269664556,0.0498748280143537
111,5.550000000000001,0.06083989213531353,0.06439000395417385,0.35052463134557765,0.08451051133564096,-0.32239522595993586,0.21129160778601658,0.31645542569910023,-0.2163097615999736,-0.029887418613751736,0.013562169604062549,-0.03228527670889955,0.003546396133191686,-0.051165542079249546,-0.038652481810610095,0.024920052974197318,-0.3417157062635331,-4.810725059995391,-0.8059814419423756,-1.312107378169046,0.8619341392378368,-0.04506952685893468,0.04796641788783064
112,5.6000000000000005,0.05787257898088745,0.062871529216568,0.3511808042502117,0.08295243279020084,-0.3222124172425301,0.20879465436494438,0.31454505199896227,-0.2150956225136605,-0.030836814855829855,0.012696475144490692,-0.030050427140764616,0.003758483693938266,-0.04872427383672531,-0.037757777145309895,0.023658294314644352,-0.3181849891036419,-4.79763445949067,-0.8112900542033935,-1.3072336056019915,0.8579493183299518,-0.041704245073429076,0.04607307792057731
113,5.65,0.055049983410109256,0.061307782907778295,0.35179539816892125,0.08150419194206024,-0.32202003529960593,0.20641807542087673,0.3126800055763519,-0.21394305646009523,-0.03169856732934863,0.011898141434993771,-0.02789201527499754,0.0039299166276413056,-0.04635087933785356,-0.03684025896301819,0.022456446368665953,-0.29494339062831965,-4.785505614851074,-0.817111141823805,-1.3027345075594963,0.8538733831174167,-0.03854909547794411,0.04419932635058002
