,x0,x1,x2
156,4.984691808665093,4.663807851638917,0.039826162005395786
157,4.9643992983042216,4.669711388174004,0.030090072234464336
158,4.943371668837705,4.67551108932637,0.020374245063301186
159,4.921846127605218,4.681208802667769,0.010769793537689299
160,4.900057133413005,4.686806346313021,0.0013531526955958342
161,4.87823456942685,4.692305507973671,-0.007812005869731749
162,4.856602223722389,4.697708044201522,-0.016672714900557904
163,4.835376525013207,4.703015679852204,-0.02518467753429817
164,4.814765482549154,4.70823010777304,-0.03331034433281667
165,4.794967782583247,4.713352988701806,-0.0410171324632895
166,4.7761719977983565,4.7183859513523645,-0.048275785024754006
167,4.758555869870432,4.723330592657948,-0.05505885041518207
168,4.742285628512543,4.728188478141547,-0.06133925446217095
169,4.7275153127558855,4.7329611423841165,-0.06708893999035553
170,4.7143860619691,4.737650089564288,-0.07227756028474039
171,4.703025345529479,4.742256794047245,-0.0768712380844306
172,4.693546101806831,4.746782701005143,-0.08083144697972029
173,4.686045760370493,4.751229227056889,-0.08411414656020484
174,4.680605127967786,4.755597760921367,-0.08666941430939662
175,4.677287131620812,4.759889664085698,-0.0884419617798409
176,4.676135434639366,4.764106271498901,-0.08937306086198119
177,4.677172976598317,4.768248892310887,-0.08940443407146136
178,4.6804005365540275,4.772318810685028,-0.0884844082942024
179,4.685795473084744,4.776317286715267,-0.08657594666062546
180,4.693310838087292,4.780245557470182,-0.08366515862990541
181,4.70287506956928,4.784104838162125,-0.0797680665668977
182,4.714392423486943,4.7878963234022445,-0.074933478767077
183,4.727744208933106,4.7916211884633135,-0.06924099640429167
184,4.742790773074865,4.795280590448656,-0.06279483228025956
185,4.759374081251504,4.798875669268527,-0.05571528297029115
186,4.7773206813358575,4.80240754835433,-0.048129901136562174
187,4.796444835044218,4.8058773350846025,-0.040165879634815334
188,4.816551629589967,4.809286120939855,-0.031944385852702116
189,4.837439931975847,4.812634981435394,-0.023576946048432898
190,4.858905099415919,4.81592497589793,-0.015163603730444288
191,4.880741403443242,4.819157147154315,-0.006792430962367537
192,4.902744158570645,4.8223325211933386,0.001460028094042009
193,4.9247115690096965,4.82545210684865,0.009527732470029929
194,4.946446320753998,4.828516895536437,0.017353800456524817
195,4.967756953612118,4.831527861067956,0.02488902546785038
196,4.9884590506641935,4.834485959545795,0.032090364086263104
197,5.008376282808254,4.8373921293442175,0.038919460036140587
198,5.027341344776632,4.8402472911681675,0.04534123539825141
199,5.045196817037438,4.84305234818195,0.05132256153624812
200,5.061795985799631,4.845808186196967,0.0568310149838692
201,5.077003651066821,4.848515673907548,0.06183372722215403
202,5.09069695021529,4.851175663164665,0.06629635267155638
203,5.1027662214951395,4.853788989278759,0.07018220848930343
204,5.1131159274182485,4.8563564713449585,0.07345168539772412
205,5.121665651055699,4.858878912586474,0.0760620908862589
206,5.1283511672911,4.861357100714943,0.07796815673197358
207,5.133125574378514,4.863791808309737,0.07912349667824474
208,5.135960447546287,4.8661837932215155,0.07948328635826593
